Date,Time,Temperature (dht11),humidity air (dht11),humidity soil1 (capacitive soil moisture),humidity soil2 (direct metal electrode)
Wed Oct 23 2019,0:15:40,27,95,255,456
Wed Oct 23 2019,0:25:47,27,95,255,456
Wed Oct 23 2019,0:35:53,27,95,255,454
Wed Oct 23 2019,0:46:00,27,95,254,453
Wed Oct 23 2019,0:56:06,27,95,256,453
Wed Oct 23 2019,1:06:13,27,95,258,454
Wed Oct 23 2019,1:16:25,27,95,257,453
Wed Oct 23 2019,1:26:31,26,95,255,451
Wed Oct 23 2019,1:36:37,26,95,255,451
Wed Oct 23 2019,1:46:44,26,95,250,450
Wed Oct 23 2019,1:56:49,26,95,256,447
Wed Oct 23 2019,2:06:56,26,95,247,451
Wed Oct 23 2019,2:17:02,26,95,255,446
Wed Oct 23 2019,2:27:09,26,95,256,450
Wed Oct 23 2019,2:37:15,26,95,255,450
Wed Oct 23 2019,2:47:21,26,95,256,450
Wed Oct 23 2019,2:57:27,26,95,255,450
Wed Oct 23 2019,3:07:33,26,95,255,450
Wed Oct 23 2019,3:17:40,26,95,255,450
Wed Oct 23 2019,3:27:46,26,95,256,449
Wed Oct 23 2019,3:37:52,26,95,256,450
Wed Oct 23 2019,3:47:58,26,95,255,450
Wed Oct 23 2019,3:58:03,26,95,255,449
Wed Oct 23 2019,4:08:10,26,95,256,449
Wed Oct 23 2019,4:18:14,26,95,256,449
Wed Oct 23 2019,4:28:20,26,95,254,449
Wed Oct 23 2019,6:05:00,26,95,248,449
Wed Oct 23 2019,6:15:06,26,95,254,429
Wed Oct 23 2019,6:25:12,26,95,254,435
Wed Oct 23 2019,6:35:18,26,95,255,435
Wed Oct 23 2019,6:45:21,26,95,255,436
Wed Oct 23 2019,6:55:27,26,95,255,437
Wed Oct 23 2019,7:05:38,26,95,254,437
Wed Oct 23 2019,7:15:45,26,95,247,438
Wed Oct 23 2019,7:25:51,26,95,254,432
Wed Oct 23 2019,7:35:57,26,95,254,437
Wed Oct 23 2019,7:46:03,26,95,254,437
Wed Oct 23 2019,7:56:06,26,95,254,438
Wed Oct 23 2019,8:06:12,26,95,254,438
Wed Oct 23 2019,8:16:19,26,95,253,438
Wed Oct 23 2019,8:26:25,26,95,253,437
Wed Oct 23 2019,8:36:31,27,95,253,437
Wed Oct 23 2019,8:46:37,27,95,252,437
Wed Oct 23 2019,8:56:44,27,95,244,437
Wed Oct 23 2019,9:06:49,27,95,250,432
Wed Oct 23 2019,9:16:56,27,95,249,437
Wed Oct 23 2019,9:26:57,27,95,250,437
Wed Oct 23 2019,9:37:03,27,95,252,436
Wed Oct 23 2019,9:47:09,28,95,243,436
Wed Oct 23 2019,9:57:14,28,95,252,429
Wed Oct 23 2019,10:07:18,28,95,252,435
Wed Oct 23 2019,10:17:25,28,95,249,433
Wed Oct 23 2019,10:27:29,28,95,250,433
Wed Oct 23 2019,10:37:35,29,95,249,432
Wed Oct 23 2019,10:57:54,31,89,248,430
Wed Oct 23 2019,11:08:02,32,85,250,430
Wed Oct 23 2019,11:18:10,33,85,253,429
Wed Oct 23 2019,11:28:18,33,84,254,426
Wed Oct 23 2019,11:38:26,33,83,254,422
Wed Oct 23 2019,11:48:35,33,84,254,416
Wed Oct 23 2019,11:58:41,33,84,254,411
Wed Oct 23 2019,12:18:57,33,83,255,406
Wed Oct 23 2019,12:29:04,33,83,256,399
Wed Oct 23 2019,12:39:10,32,82,248,397
Wed Oct 23 2019,12:49:17,32,83,256,390
Wed Oct 23 2019,12:59:23,31,85,256,393
Wed Oct 23 2019,13:09:24,31,86,247,392
Wed Oct 23 2019,13:19:29,31,88,254,382
Wed Oct 23 2019,13:29:34,31,88,254,387
Wed Oct 23 2019,13:39:40,30,87,253,387
Wed Oct 23 2019,13:59:54,30,88,250,387
Wed Oct 23 2019,14:20:16,30,89,248,385
Wed Oct 23 2019,14:30:22,30,89,240,382
Wed Oct 23 2019,14:40:22,29,88,247,375
Wed Oct 23 2019,14:50:26,30,88,247,380
Wed Oct 23 2019,15:20:49,29,89,248,379
Wed Oct 23 2019,15:41:11,29,90,247,379
Wed Oct 23 2019,15:51:17,29,90,248,376
Wed Oct 23 2019,16:01:24,29,90,247,375
Wed Oct 23 2019,16:11:29,29,90,247,375
Wed Oct 23 2019,16:21:35,29,90,247,375
Wed Oct 23 2019,16:31:42,29,91,248,374
Wed Oct 23 2019,16:41:50,29,92,238,374
Wed Oct 23 2019,17:02:08,29,92,246,368
Wed Oct 23 2019,17:12:14,29,93,247,374
Wed Oct 23 2019,17:32:29,29,94,246,374
Wed Oct 23 2019,17:52:45,29,94,247,373
Wed Oct 23 2019,18:02:53,29,95,247,374
Wed Oct 23 2019,18:12:58,28,94,248,373
Wed Oct 23 2019,18:33:14,28,95,247,373
Wed Oct 23 2019,18:43:17,28,95,246,369
Wed Oct 23 2019,18:53:23,28,95,247,368
Wed Oct 23 2019,19:03:29,28,95,247,368
Wed Oct 23 2019,19:13:36,28,95,247,373
Wed Oct 23 2019,19:23:42,28,95,247,368
Wed Oct 23 2019,19:33:48,28,95,247,367
Wed Oct 23 2019,19:43:55,28,95,248,367
Wed Oct 23 2019,20:14:21,28,95,301,367
Wed Oct 23 2019,20:24:22,27,95,289,384
Wed Oct 23 2019,20:34:29,26,95,288,435
Wed Oct 23 2019,20:44:35,26,95,288,445
Wed Oct 23 2019,20:54:41,26,95,281,448
Wed Oct 23 2019,21:15:04,26,95,285,448
Wed Oct 23 2019,21:28:12,26,95,272,456
Wed Oct 23 2019,21:48:33,26,95,286,432
Wed Oct 23 2019,22:19:07,26,95,283,453
Wed Oct 23 2019,22:29:09,27,95,282,452
Wed Oct 23 2019,22:49:26,27,95,282,452
Wed Oct 23 2019,22:59:30,27,95,282,452
Wed Oct 23 2019,23:19:46,27,95,280,453
Wed Oct 23 2019,23:29:47,27,95,280,452
Wed Oct 23 2019,23:39:53,27,95,278,452
Wed Oct 23 2019,23:49:59,27,95,277,452
Thu Oct 24 2019,0:00:01,27,95,278,451
Thu Oct 24 2019,0:10:07,27,95,280,452
Thu Oct 24 2019,0:20:14,27,95,277,452
